movie_ref,discogs_title_norm,tmdb_title_norm,discogs_year,tmdb_year,discogs_genre,tmdb_genre,discogs_style
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2017,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2000,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2016,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,1993,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,origami,2017,2007,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2002,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,akira,2017,1988,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,akira,2017,2016,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,akira,2017,,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,akira,2017,2016,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,akira,2017,2025,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2022,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,akira hip hop shop,2017,2007,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2002,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2002,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2022,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,1988,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2022,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,akira project,2017,2014,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,1989,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2017,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2000,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2016,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,1993,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,origami,2017,2007,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2002,"Electronic, Stage & Screen",,"Anison, Score, Soundtrack"
Akira,geinoh yamashirogumi akira symphonic suite,akira,2017,1988,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,akira,2017,2016,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,akira,2017,,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,akira,2017,2016,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,akira,2017,2025,"Electronic, Stage & Screen",,"Soundtrack, Anison"
Akira,geinoh yamashirogumi akira symphonic suite,,2017,2022,"Electronic, Stage & Screen",,"Soundtrack, Anison"
